,precision,recall,f1-score,support
0,1.0,1.0,1.0,188.0
1,1.0,1.0,1.0,191.0
2,1.0,1.0,1.0,218.0
3,1.0,1.0,1.0,203.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,800.0
weighted avg,1.0,1.0,1.0,800.0
