1,"(2,0)",-57,-51,-67,-61,-61,-71,-63,-57,-73,-67,-63,-65,-65,-57,-79,-77,-33,-75,-53,-51,-59
0,"(2,0)",-57,-51,-61,-63,-61,-73,-67,-57,-67,-63,-63,-61,-67,-67,-81,-77,-45,-75,-53,-51,-59
1,"(2,0)",-57,-51,-67,-61,-61,-71,-63,-57,-73,-67,-63,-65,-65,-57,-79,-77,-33,-75,-53,-51,-59
2,"(2,0)",-57,-51,-69,-61,-61,-71,-63,-61,-73,-67,-63,-63,-65,-67,-79,-75,-47,-75,-51,-51,-59
3,"(2,0)",-57,-53,-63,-61,-59,-71,-63,-61,-67,-69,-63,-63,-65,-67,-81,-75,-35,-75,-53,-53,-61
4,"(2,0)",-57,-51,-69,-61,-61,-73,-67,-55,-67,-67,-63,-63,-61,-63,-81,-75,-35,-77,-53,-53,-59
5,"(2,0)",-51,-53,-61,-63,-59,-73,-65,-57,-67,-69,-65,-65,-67,-63,-81,-77,-45,-75,-53,-53,-61
6,"(2,0)",-57,-53,-67,-63,-59,-73,-65,-57,-75,-65,-65,-65,-67,-67,-81,-77,-45,-73,-53,-53,-59
7,"(2,0)",-57,-59,-75,-61,-61,-73,-67,-61,-73,-69,-65,-65,-65,-63,-81,-77,-35,-73,-53,-53,-59
8,"(2,0)",-55,-85,-67,-61,-61,-73,-67,-59,-69,-69,-63,-63,-65,-63,-81,-75,-45,-73,-53,-53,-59
9,"(2,0)",-57,-57,-63,-61,-59,-73,-67,-57,-67,-67,-63,-63,-67,-69,-79,-77,-33,-73,-53,-53,-61
10,"(2,0)",-55,-57,-65,-61,-59,-73,-67,-57,-77,-61,-63,-61,-65,-63,-81,-77,-33,-75,-53,-51,-59
11,"(2,0)",-57,-57,-67,-61,-59,-73,-67,-57,-69,-61,-65,-59,-67,-61,-81,-77,-33,-73,-53,-53,-59
12,"(2,0)",-51,-61,-67,-61,-59,-73,-65,-57,-69,-61,-65,-59,-65,-67,-81,-77,-47,-75,-53,-53,-59
13,"(2,0)",-55,-57,-67,-63,-61,-75,-67,-57,-73,-63,-63,-59,-65,-69,-81,-77,-35,-75,-53,-53,-59
14,"(2,0)",-55,-61,-63,-63,-61,-75,-63,-59,-69,-67,-59,-61,-65,-67,-81,-75,-43,-75,-53,-53,-61
15,"(2,0)",-55,-53,-61,-61,-61,-73,-67,-59,-73,-61,-59,-63,-63,-67,-81,-77,-47,-75,-53,-53,-59
16,"(2,0)",-57,-61,-61,-61,-61,-75,-67,-57,-67,-63,-67,-63,-65,-67,-81,-77,-45,-75,-53,-53,-57
17,"(2,0)",-55,-57,-69,-61,-61,-73,-65,-57,-67,-59,-63,-63,-63,-67,-81,-77,-35,-75,-53,-53,-57
18,"(2,0)",-55,-51,-63,-61,-61,-73,-67,-59,-67,-69,-63,-63,-65,-67,-81,-79,-35,-75,-53,-53,-57
19,"(2,0)",-49,-51,-67,-61,-61,-73,-67,-55,-67,-69,-65,-63,-65,-67,-79,-75,-43,-75,-53,-53,-59
20,"(2,0)",-57,-55,-69,-63,-61,-73,-65,-59,-67,-59,-63,-63,-65,-67,-79,-75,-43,-73,-53,-51,-61
21,"(2,0)",-55,-55,-65,-63,-61,-73,-65,-59,-69,-59,-63,-63,-67,-63,-79,-75,-33,-73,-53,-53,-59
22,"(2,0)",-55,-59,-67,-63,-61,-73,-65,-55,-73,-67,-67,-63,-65,-67,-81,-75,-33,-73,-53,-53,-59
23,"(2,0)",-57,-59,-67,-61,-61,-75,-69,-57,-73,-61,-63,-63,-65,-67,-81,-75,-69,-73,-53,-51,-61
24,"(2,0)",-57,-57,-67,-61,-67,-75,-65,-57,-67,-67,-63,-63,-67,-59,-81,-77,-47,-73,-53,-51,-61
25,"(2,0)",-57,-51,-67,-61,-63,-75,-65,-57,-67,-69,-63,-63,-67,-75,-81,-77,-31,-75,-53,-51,-59
26,"(2,0)",-59,-57,-67,-61,-61,-73,-69,-55,-75,-67,-63,-63,-65,-75,-79,-77,-33,-77,-53,-53,-59
27,"(2,0)",-57,-53,-67,-61,-61,-71,-67,-57,-67,-67,-63,-59,-65,-61,-81,-77,-33,-73,-53,-53,-59
28,"(2,0)",-57,-51,-67,-61,-63,-71,-67,-57,-73,-67,-63,-79,-65,-69,-81,-73,-33,-77,-53,-53,-59
29,"(2,0)",-57,-55,-63,-61,-61,-75,-67,-57,-75,-67,-63,-79,-65,-67,-81,-77,-35,-75,-85,-53,-59
30,"(2,0)",-55,-87,-71,-61,-61,-73,-67,-57,-75,-69,-65,-79,-65,-67,-81,-77,-47,-75,-53,-51,-61
31,"(2,0)",-57,-53,-67,-61,-61,-69,-67,-57,-73,-69,-61,-79,-63,-67,-79,-77,-47,-75,-53,-53,-59
32,"(2,0)",-57,-51,-67,-61,-61,-73,-65,-57,-67,-61,-65,-79,-67,-67,-79,-75,-47,-77,-53,-53,-59
33,"(2,0)",-55,-59,-67,-63,-61,-73,-65,-57,-75,-67,-65,-65,-67,-59,-77,-75,-47,-71,-53,-53,-59
34,"(2,0)",-55,-55,-61,-61,-61,-73,-65,-57,-75,-63,-65,-65,-65,-59,-81,-75,-47,-71,-53,-53,-55
35,"(2,0)",-57,-51,-63,-61,-61,-73,-67,-55,-67,-59,-61,-65,-65,-59,-81,-75,-47,-71,-53,-53,-55
36,"(2,0)",-57,-59,-63,-61,-63,-75,-67,-55,-73,-67,-65,-59,-63,-67,-81,-77,-33,-71,-53,-53,-55
37,"(2,0)",-53,-59,-67,-61,-63,-75,-63,-57,-73,-69,-63,-59,-65,-67,-81,-77,-47,-79,-53,-51,-59
38,"(2,0)",-55,-53,-69,-61,-61,-75,-73,-59,-75,-63,-63,-59,-67,-59,-79,-77,-33,-75,-53,-51,-57
39,"(2,0)",-49,-55,-75,-61,-61,-75,-69,-55,-67,-67,-65,-63,-67,-59,-79,-77,-33,-75,-53,-53,-61
40,"(2,0)",-57,-57,-67,-61,-59,-73,-61,-57,-67,-67,-63,-59,-65,-69,-79,-77,-47,-75,-53,-53,-61
41,"(2,0)",-55,-59,-63,-61,-61,-71,-61,-57,-75,-69,-63,-59,-67,-59,-79,-77,-47,-75,-53,-53,-59
42,"(2,0)",-57,-57,-67,-61,-61,-73,-63,-57,-75,-69,-65,-61,-65,-59,-81,-77,-45,-75,-51,-53,-59
43,"(2,0)",-55,-57,-61,-61,-61,-73,-65,-57,-67,-61,-63,-61,-67,-67,-81,-77,-33,-71,-51,-53,-59
44,"(2,0)",-55,-47,-61,-61,-63,-75,-67,-57,-67,-69,-65,-63,-65,-65,-81,-77,-33,-75,-51,-53,-59
45,"(2,0)",-57,-55,-67,-63,-61,-73,-67,-57,-65,-69,-65,-63,-67,-59,-79,-75,-33,-75,-53,-53,-59
46,"(2,0)",-57,-59,-65,-61,-61,-75,-67,-57,-77,-61,-65,-63,-65,-67,-81,-77,-37,-75,-53,-53,-59
47,"(2,0)",-57,-53,-63,-63,-61,-73,-67,-57,-69,-67,-65,-63,-65,-67,-81,-75,-47,-75,-53,-53,-61
48,"(2,0)",-57,-73,-63,-61,-61,-73,-67,-57,-67,-61,-61,-63,-65,-67,-81,-75,-47,-75,-53,-53,-57
49,"(2,0)",-57,-57,-63,-61,-61,-73,-67,-57,-73,-59,-69,-65,-65,-71,-81,-75,-33,-75,-53,-53,-59
50,"(2,0)",-57,-61,-69,-61,-57,-73,-69,-57,-67,-59,-63,-59,-67,-71,-81,-75,-35,-73,-51,-53,-59
51,"(2,0)",-57,-59,-69,-61,-61,-73,-63,-55,-67,-61,-63,-61,-65,-71,-79,-75,-35,-75,-53,-53,-61
52,"(2,0)",-53,-57,-79,-61,-61,-73,-65,-59,-67,-63,-65,-61,-65,-67,-81,-75,-47,-77,-53,-51,-59
53,"(2,0)",-55,-55,-63,-61,-63,-73,-65,-59,-67,-61,-63,-63,-67,-67,-83,-75,-45,-77,-53,-53,-57
54,"(2,0)",-57,-61,-75,-61,-61,-73,-79,-55,-65,-59,-63,-63,-67,-67,-79,-75,-45,-77,-53,-53,-59
