,"X,Y","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""LCDA""
B0:48:7A:DE:14:8C","""AP_1612927617""
BC:54:F9:FC:7F:60","""Microondas""
48:F8:B3:22:4D:4B","""FabLab""
AC:84:C6:3E:EF:51","""Lab ERNC""
00:90:4C:91:00:03","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Baxter""
EC:22:80:F3:EB:EA","""Vibraciones""
50:C7:BF:DD:C3:B3","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""eduroam""
84:D4:7E:29:3C:E2","""Die231""
EC:08:6B:42:B5:4A","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab 212""
00:23:CD:18:65:9C","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""eduroam""
84:D4:7E:29:3E:82","""solidoswi""
00:4F:6A:0A:1B:6A"
34,"(2,0)",-55,-55,-61,-61,-61,-73,-65,-57,-75,-63,-65,-65,-65,-59,-81,-75,-47,-71,-53,-53,-55,-83
35,"(2,0)",-57,-51,-63,-61,-61,-73,-67,-55,-67,-59,-61,-65,-65,-59,-81,-75,-47,-71,-53,-53,-55,-83
36,"(2,0)",-57,-59,-63,-61,-63,-75,-67,-55,-73,-67,-65,-59,-63,-67,-81,-77,-33,-71,-53,-53,-55,-83
37,"(2,0)",-53,-59,-67,-61,-63,-75,-63,-57,-73,-69,-63,-59,-65,-67,-81,-77,-47,-79,-53,-51,-59,-83
38,"(2,0)",-55,-53,-69,-61,-61,-75,-73,-59,-75,-63,-63,-59,-67,-59,-79,-77,-33,-75,-53,-51,-57,-83
39,"(2,0)",-49,-55,-75,-61,-61,-75,-69,-55,-67,-67,-65,-63,-67,-59,-79,-77,-33,-75,-53,-53,-61,-83
40,"(2,0)",-57,-57,-67,-61,-59,-73,-61,-57,-67,-67,-63,-59,-65,-69,-79,-77,-47,-75,-53,-53,-61,-83
41,"(2,0)",-55,-59,-63,-61,-61,-71,-61,-57,-75,-69,-63,-59,-67,-59,-79,-77,-47,-75,-53,-53,-59,-83
42,"(2,0)",-57,-57,-67,-61,-61,-73,-63,-57,-75,-69,-65,-61,-65,-59,-81,-77,-45,-75,-51,-53,-59,-85
43,"(2,0)",-55,-57,-61,-61,-61,-73,-65,-57,-67,-61,-63,-61,-67,-67,-81,-77,-33,-71,-51,-53,-59,-81
44,"(2,0)",-55,-47,-61,-61,-63,-75,-67,-57,-67,-69,-65,-63,-65,-65,-81,-77,-33,-75,-51,-53,-59,-81
45,"(2,0)",-57,-55,-67,-63,-61,-73,-67,-57,-65,-69,-65,-63,-67,-59,-79,-75,-33,-75,-53,-53,-59,-81
46,"(2,0)",-57,-59,-65,-61,-61,-75,-67,-57,-77,-61,-65,-63,-65,-67,-81,-77,-37,-75,-53,-53,-59,-81
47,"(2,0)",-57,-53,-63,-63,-61,-73,-67,-57,-69,-67,-65,-63,-65,-67,-81,-75,-47,-75,-53,-53,-61,-81
48,"(2,0)",-57,-73,-63,-61,-61,-73,-67,-57,-67,-61,-61,-63,-65,-67,-81,-75,-47,-75,-53,-53,-57,-81
49,"(2,0)",-57,-57,-63,-61,-61,-73,-67,-57,-73,-59,-69,-65,-65,-71,-81,-75,-33,-75,-53,-53,-59,-81
50,"(2,0)",-57,-61,-69,-61,-57,-73,-69,-57,-67,-59,-63,-59,-67,-71,-81,-75,-35,-73,-51,-53,-59,-81
51,"(2,0)",-57,-59,-69,-61,-61,-73,-63,-55,-67,-61,-63,-61,-65,-71,-79,-75,-35,-75,-53,-53,-61,-81
52,"(2,0)",-53,-57,-79,-61,-61,-73,-65,-59,-67,-63,-65,-61,-65,-67,-81,-75,-47,-77,-53,-51,-59,-81
53,"(2,0)",-55,-55,-63,-61,-63,-73,-65,-59,-67,-61,-63,-63,-67,-67,-83,-75,-45,-77,-53,-53,-57,-81
54,"(2,0)",-57,-61,-75,-61,-61,-73,-79,-55,-65,-59,-63,-63,-67,-67,-79,-75,-45,-77,-53,-53,-59,-81
55,"(2,0)",-57,-53,-67,-61,-61,-73,-75,-59,-75,-67,-65,-63,-65,-67,-81,-77,-35,-77,-53,-71,-59,-81
56,"(2,0)",-55,-53,-69,-63,-61,-73,-75,-57,-69,-59,-65,-63,-63,-67,-81,-77,-33,-77,-53,-53,-59,-81
57,"(2,0)",-57,-51,-61,-61,-61,-73,-63,-59,-75,-61,-63,-63,-65,-67,-81,-75,-47,-75,-53,-53,-59,-83
