"""Lab ERNC""
00:90:4C:91:00:03","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Vibraciones""
50:C7:BF:DD:C3:B3","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Docentes FI""
0E:18:D6:CB:01:A4","""Microondas""
48:F8:B3:22:4D:4B","""CE5CFB""
98:FC:11:E2:A6:A5","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Die231""
EC:08:6B:42:B5:4A","""LabSerc 2.4""
94:10:3E:86:13:20","""Lab Energias Renovables""
F4:EC:38:D2:09:78"
-77,-68,-73,-75,-77,-52,-78,-78,-74,-79,-71,-70,-90,-79,-74
-77,-68,-73,-75,-77,-52,-78,-78,-73,-79,-71,-69,-90,-79,-75
-77,-69,-74,-75,-77,-52,-78,-78,-72,-79,-71,-69,-90,-79,-75
-77,-69,-74,-75,-77,-52,-77,-78,-72,-79,-71,-70,-90,-79,-74
-77,-69,-74,-74,-77,-52,-77,-78,-72,-79,-71,-70,-90,-79,-76
-75,-69,-74,-74,-77,-56,-77,-78,-72,-79,-71,-70,-90,-79,-75
-76,-69,-74,-74,-77,-54,-77,-78,-72,-79,-71,-69,-90,-79,-75
-77,-68,-74,-75,-77,-53,-77,-78,-73,-79,-71,-69,-89,-79,-74
-77,-68,-73,-75,-77,-52,-77,-78,-73,-79,-71,-69,-89,-79,-74
-77,-68,-73,-75,-77,-52,-77,-78,-73,-79,-71,-69,-89,-79,-75
-77,-68,-73,-74,-77,-52,-77,-78,-73,-79,-71,-69,-89,-79,-74
-77,-68,-73,-74,-76,-52,-77,-78,-73,-79,-71,-69,-89,-79,-74
-76,-68,-73,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-75
-76,-68,-73,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
-77,-68,-73,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
-77,-68,-74,-73,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
-77,-68,-74,-72,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-75
-75,-68,-74,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-75
-76,-68,-74,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
-77,-68,-74,-74,-77,-52,-78,-78,-72,-78,-71,-70,-89,-79,-74
-77,-68,-73,-75,-77,-52,-77,-78,-72,-78,-71,-70,-89,-79,-75
-77,-68,-74,-75,-77,-52,-78,-78,-72,-79,-71,-68,-89,-79,-75
-77,-68,-74,-74,-77,-52,-78,-78,-72,-79,-71,-68,-89,-79,-75
-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-68,-89,-79,-74
-75,-69,-74,-75,-77,-52,-78,-78,-72,-79,-71,-68,-89,-79,-75
-75,-69,-74,-75,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
-76,-69,-74,-76,-77,-52,-78,-78,-73,-79,-71,-69,-89,-79,-74
-76,-69,-75,-75,-77,-52,-78,-78,-73,-79,-71,-69,-89,-79,-75
-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-74,-68,-89,-79,-75
-77,-69,-74,-72,-77,-52,-78,-78,-73,-79,-73,-68,-89,-79,-74
-77,-70,-74,-75,-76,-52,-78,-78,-72,-79,-72,-68,-88,-79,-76
-76,-70,-75,-73,-77,-52,-78,-78,-72,-79,-72,-68,-88,-79,-75
-77,-70,-74,-73,-77,-52,-78,-78,-72,-79,-72,-71,-88,-79,-76
-77,-70,-74,-73,-77,-52,-78,-78,-72,-79,-72,-71,-88,-79,-76
-77,-70,-75,-73,-77,-52,-78,-78,-72,-79,-72,-69,-88,-79,-77
-77,-70,-74,-73,-77,-52,-78,-78,-72,-79,-72,-70,-88,-79,-76
-77,-70,-74,-74,-77,-52,-78,-78,-72,-79,-72,-69,-88,-79,-76
-77,-70,-73,-74,-77,-52,-78,-78,-72,-79,-74,-69,-88,-79,-75
-76,-70,-73,-73,-77,-52,-78,-82,-72,-79,-73,-69,-89,-79,-74
-76,-70,-73,-73,-76,-52,-78,-82,-72,-79,-72,-69,-89,-79,-75
-77,-70,-73,-73,-77,-52,-78,-82,-72,-79,-72,-70,-89,-79,-74
-77,-70,-73,-72,-77,-52,-78,-81,-73,-79,-72,-70,-89,-79,-74
-77,-70,-73,-72,-77,-52,-78,-80,-73,-79,-72,-70,-89,-79,-76
-77,-70,-73,-72,-77,-52,-78,-80,-72,-79,-72,-70,-89,-79,-76
-77,-70,-73,-73,-77,-52,-78,-80,-73,-79,-72,-69,-89,-79,-77
-77,-70,-74,-73,-77,-52,-78,-80,-72,-79,-72,-70,-89,-79,-75
-77,-70,-74,-73,-77,-52,-78,-79,-72,-79,-72,-69,-89,-79,-74
-77,-70,-74,-73,-77,-52,-78,-79,-72,-79,-72,-69,-89,-79,-75
-77,-70,-74,-73,-77,-52,-78,-79,-72,-79,-72,-69,-89,-79,-78
-77,-70,-75,-73,-77,-52,-77,-79,-72,-79,-72,-69,-89,-79,-76
-76,-70,-74,-74,-77,-52,-77,-79,-73,-79,-72,-69,-89,-79,-77
-76,-70,-74,-74,-77,-52,-77,-79,-74,-79,-72,-70,-89,-79,-76
-77,-70,-74,-74,-77,-52,-80,-79,-74,-79,-72,-69,-89,-79,-75
-76,-70,-74,-74,-77,-52,-78,-79,-73,-78,-72,-70,-89,-79,-75
-76,-70,-73,-73,-77,-52,-78,-79,-73,-78,-72,-70,-89,-79,-75
-76,-70,-73,-73,-77,-52,-78,-79,-73,-78,-72,-69,-89,-79,-74
-76,-70,-73,-75,-77,-52,-78,-79,-73,-78,-72,-68,-89,-79,-75
-76,-70,-73,-74,-77,-52,-78,-79,-72,-78,-72,-68,-89,-79,-74
-76,-70,-73,-74,-77,-52,-78,-79,-72,-78,-71,-69,-89,-79,-74
-77,-70,-74,-74,-77,-52,-76,-79,-73,-78,-71,-69,-89,-79,-74
-76,-70,-74,-74,-76,-52,-77,-79,-73,-78,-71,-68,-89,-79,-75
-76,-70,-74,-74,-77,-52,-77,-79,-73,-77,-71,-69,-89,-79,-74
-75,-70,-74,-73,-77,-52,-78,-79,-73,-78,-71,-69,-89,-79,-74
-75,-70,-74,-74,-77,-52,-78,-79,-73,-78,-71,-70,-89,-79,-75
-74,-70,-74,-75,-77,-52,-78,-79,-73,-78,-71,-71,-89,-79,-75
-74,-70,-74,-75,-77,-52,-78,-79,-73,-78,-71,-71,-89,-79,-74
-75,-70,-74,-75,-77,-52,-78,-79,-73,-78,-71,-71,-89,-79,-74
-76,-70,-74,-74,-77,-52,-78,-79,-73,-78,-71,-70,-89,-79,-74
-76,-70,-74,-74,-77,-52,-78,-79,-74,-78,-72,-70,-89,-79,-74
-77,-70,-73,-74,-77,-52,-78,-79,-73,-78,-72,-70,-89,-79,-74
-77,-70,-73,-74,-77,-52,-78,-79,-74,-79,-72,-70,-89,-79,-74
-76,-70,-73,-75,-76,-52,-78,-79,-74,-79,-72,-69,-89,-79,-74
-75,-70,-75,-74,-76,-52,-78,-79,-74,-79,-72,-69,-89,-79,-74
-74,-70,-75,-72,-77,-52,-78,-79,-74,-79,-72,-69,-89,-79,-74
-75,-70,-74,-73,-77,-52,-78,-79,-74,-79,-72,-69,-89,-79,-75
-75,-70,-74,-74,-77,-52,-78,-78,-74,-79,-72,-68,-89,-79,-75
-76,-70,-74,-74,-77,-52,-78,-78,-74,-79,-72,-69,-89,-79,-75
-77,-70,-75,-75,-77,-52,-78,-79,-73,-79,-72,-69,-89,-79,-74
-76,-70,-74,-75,-77,-52,-78,-79,-73,-79,-72,-70,-89,-79,-74
-77,-70,-74,-74,-77,-52,-78,-79,-73,-79,-72,-70,-89,-79,-74
-77,-70,-74,-75,-77,-52,-78,-79,-73,-79,-72,-70,-89,-79,-75
-77,-70,-74,-74,-76,-52,-78,-79,-73,-79,-72,-70,-89,-79,-74
-77,-69,-74,-74,-77,-52,-78,-79,-74,-79,-72,-70,-89,-79,-74
-77,-69,-74,-74,-77,-52,-78,-79,-73,-79,-72,-69,-89,-79,-75
-77,-69,-75,-74,-77,-52,-78,-79,-73,-79,-72,-69,-89,-79,-75
-77,-69,-74,-74,-76,-52,-78,-79,-72,-79,-72,-70,-89,-79,-74
-77,-69,-74,-74,-76,-52,-78,-79,-72,-79,-72,-70,-89,-79,-74
-77,-69,-74,-74,-77,-52,-77,-79,-72,-79,-72,-70,-89,-79,-74
-77,-69,-74,-74,-77,-52,-78,-79,-72,-79,-72,-70,-89,-79,-74
-77,-69,-73,-74,-77,-52,-78,-79,-72,-79,-72,-70,-89,-79,-74
-77,-69,-74,-73,-77,-52,-78,-79,-72,-79,-72,-70,-89,-79,-76
-76,-69,-74,-73,-77,-52,-77,-79,-72,-79,-72,-71,-89,-79,-74
-76,-69,-74,-73,-77,-52,-77,-79,-73,-79,-72,-71,-89,-79,-74
-77,-69,-74,-74,-76,-52,-77,-79,-73,-78,-72,-71,-89,-79,-74
-77,-69,-74,-74,-75,-52,-77,-79,-73,-79,-72,-70,-89,-79,-74
-76,-69,-74,-74,-75,-52,-77,-79,-72,-79,-71,-68,-90,-79,-73
-77,-69,-74,-74,-76,-52,-78,-79,-73,-79,-71,-68,-90,-79,-73
-77,-69,-74,-74,-77,-52,-78,-79,-73,-74,-71,-68,-90,-79,-75
-76,-69,-74,-74,-77,-52,-78,-79,-73,-74,-71,-68,-90,-79,-76
