,"X,Y","""FabLab""
AC:84:C6:3E:EF:51","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""linksys""
00:25:9C:98:4B:7D","""Lab ERNC""
00:90:4C:91:00:03","""AP_1612927617""
BC:54:F9:FC:7F:60","""Vibraciones""
50:C7:BF:DD:C3:B3","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Baxter""
EC:22:80:F3:EB:EA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Docentes FI""
0E:18:D6:CB:01:A4","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""Lab 212""
00:23:CD:18:65:9C","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Die231""
EC:08:6B:42:B5:4A","""eduroam""
84:D4:7E:29:3E:82","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1"
40,"(0,0)",-76,-71,-78,-73,-71,-70,-79,-74,-75,-56,-76,-72,-77,-74,-81,-79,-76,-75,-92
41,"(0,0)",-75,-71,-78,-73,-71,-70,-79,-74,-75,-56,-76,-72,-77,-74,-81,-79,-76,-76,-92
42,"(0,0)",-76,-71,-78,-74,-71,-70,-79,-74,-76,-57,-76,-72,-77,-74,-81,-79,-75,-74,-93
43,"(0,0)",-76,-71,-78,-74,-71,-70,-79,-73,-75,-56,-76,-72,-77,-74,-81,-79,-76,-73,-93
44,"(0,0)",-77,-71,-79,-73,-71,-70,-79,-73,-74,-56,-76,-72,-77,-74,-81,-79,-77,-72,-93
45,"(0,0)",-77,-71,-79,-73,-71,-70,-79,-73,-74,-56,-77,-72,-77,-74,-81,-79,-76,-71,-93
46,"(0,0)",-77,-71,-79,-73,-71,-70,-79,-73,-74,-57,-77,-72,-77,-73,-81,-79,-76,-73,-93
47,"(0,0)",-77,-71,-79,-74,-71,-70,-79,-72,-75,-56,-82,-72,-77,-73,-81,-79,-76,-72,-93
48,"(0,0)",-77,-71,-79,-74,-71,-71,-79,-72,-75,-57,-81,-72,-76,-73,-81,-79,-76,-72,-93
49,"(0,0)",-77,-71,-79,-73,-71,-70,-79,-72,-75,-56,-79,-72,-77,-73,-81,-79,-76,-72,-93
50,"(0,0)",-77,-71,-79,-73,-71,-69,-79,-72,-75,-56,-79,-72,-77,-73,-81,-79,-77,-72,-69
51,"(0,0)",-77,-71,-79,-72,-71,-69,-79,-72,-75,-56,-77,-72,-77,-73,-81,-79,-77,-72,-69
52,"(0,0)",-77,-71,-79,-72,-71,-70,-79,-72,-76,-56,-76,-72,-77,-73,-81,-79,-77,-73,-70
53,"(0,0)",-77,-71,-79,-72,-71,-70,-79,-72,-75,-56,-77,-72,-77,-73,-81,-79,-77,-73,-70
54,"(0,0)",-76,-71,-78,-72,-71,-70,-79,-72,-74,-57,-77,-72,-77,-73,-81,-79,-77,-73,-70
55,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-72,-74,-56,-76,-72,-77,-73,-81,-79,-77,-73,-70
56,"(0,0)",-77,-71,-78,-72,-71,-69,-79,-72,-74,-57,-75,-72,-77,-73,-81,-79,-77,-74,-70
57,"(0,0)",-77,-71,-78,-72,-71,-69,-79,-72,-75,-56,-75,-72,-77,-73,-81,-79,-77,-76,-70
58,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-75,-75,-56,-75,-72,-77,-73,-81,-79,-77,-75,-70
59,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-74,-76,-56,-75,-72,-77,-73,-81,-79,-77,-74,-70
60,"(0,0)",-76,-71,-78,-72,-71,-70,-79,-74,-76,-56,-76,-72,-77,-73,-81,-79,-77,-74,-70
61,"(0,0)",-77,-71,-78,-72,-71,-70,-79,-74,-75,-56,-75,-72,-77,-73,-81,-79,-77,-75,-70
62,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-57,-75,-72,-77,-73,-81,-79,-77,-74,-71
63,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-57,-75,-72,-77,-73,-81,-79,-77,-73,-71
64,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-73,-75,-57,-75,-72,-77,-73,-81,-79,-77,-72,-71
65,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-73,-57,-75,-72,-77,-73,-81,-79,-77,-70,-71
66,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-74,-57,-78,-72,-77,-73,-81,-79,-77,-70,-70
67,"(0,0)",-77,-71,-78,-73,-71,-70,-79,-74,-75,-57,-80,-71,-77,-73,-81,-79,-77,-70,-70
