,precision,recall,f1-score,support
0,0.23,1.0,0.3739837398373984,92.0
1,0.0,0.0,0.0,102.0
2,0.0,0.0,0.0,107.0
3,0.0,0.0,0.0,99.0
accuracy,0.23,0.23,0.23,0.23
macro avg,0.0575,0.25,0.0934959349593496,400.0
weighted avg,0.0529,0.23,0.08601626016260162,400.0
