,precision,recall,f1-score,support
0,0.15,1.0,0.2608695652173913,6.0
1,0.0,0.0,0.0,11.0
2,0.0,0.0,0.0,11.0
3,0.0,0.0,0.0,12.0
accuracy,0.15,0.15,0.15,0.15
macro avg,0.0375,0.25,0.06521739130434782,40.0
weighted avg,0.0225,0.15,0.03913043478260869,40.0
