,precision,recall,f1-score,support
0,0.0,0.0,0.0,7.0
1,0.37037037037037035,1.0,0.5405405405405406,10.0
2,0.0,0.0,0.0,10.0
3,0.0,0.0,0.0,14.0
4,0.0,0.0,0.0,12.0
5,1.0,1.0,1.0,12.0
6,0.20689655172413793,1.0,0.34285714285714286,6.0
7,0.4782608695652174,1.0,0.6470588235294118,11.0
8,0.0,0.0,0.0,9.0
accuracy,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
macro avg,0.2283919768510806,0.4444444444444444,0.28116183410301054,91.0
weighted avg,0.24402145691501012,0.42857142857142855,0.29209005847661307,91.0
