,precision,recall,f1-score,support
0,1.0,0.9989764585465711,0.9994879672299026,977.0
1,1.0,0.9980314960629921,0.9990147783251232,1016.0
2,0.996969696969697,1.0,0.9984825493171471,987.0
3,1.0,1.0,1.0,1020.0
accuracy,0.99925,0.99925,0.99925,0.99925
macro avg,0.9992424242424243,0.9992519886523908,0.9992463237180432,4000.0
weighted avg,0.9992522727272727,0.99925,0.9992502587344911,4000.0
