,precision,recall,f1-score,support
0,1.0,0.9954128440366973,0.9977011494252873,218.0
1,0.9894736842105263,1.0,0.9947089947089947,188.0
2,0.9794871794871794,1.0,0.9896373056994818,191.0
3,0.9949494949494949,0.9704433497536946,0.9825436408977556,203.0
accuracy,0.99125,0.99125,0.99125,0.99125
macro avg,0.9909775896618002,0.9914640484475981,0.9911477726828798,800.0
weighted avg,0.9913473142354722,0.99125,0.9912265325885613,800.0
