,precision,recall,f1-score,support
0,1.0,1.0,1.0,1999.0
1,1.0,1.0,1.0,1977.0
2,1.0,1.0,1.0,2005.0
3,1.0,1.0,1.0,2019.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,8000.0
weighted avg,1.0,1.0,1.0,8000.0
