,"X,Y","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""UdeC""
84:D4:7E:29:3E:80","""FabLab""
AC:84:C6:3E:EF:51","""SMA1930055648""
B0:72:BF:05:3C:3D","""Lab ERNC""
00:90:4C:91:00:03","""Eduescob1""
68:FF:7B:1D:44:01","""eduroam""
84:D4:7E:29:3E:82","""LCDA""
B0:48:7A:DE:14:8C","""Sistemas Electronicos""
64:70:02:40:6C:DE","""AP_1612927617""
BC:54:F9:FC:7F:60","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Microondas""
48:F8:B3:22:4D:4B","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""CE5CFB""
98:FC:11:E2:A6:A5","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Vibraciones""
50:C7:BF:DD:C3:B3","""LabSerc 2.4""
94:10:3E:86:13:20","""Die231""
EC:08:6B:42:B5:4A","""Controlistas""
54:E6:FC:E7:FA:D2"
0,"(0,0)",-65,-65,-72,-79,-72,-79,-76,-79,-79,-77,-54,-68,-72,-72,-71,-66,-71,-72,-77,-79,-89
1,"(0,0)",-65,-65,-74,-79,-71,-79,-76,-79,-77,-77,-54,-66,-72,-72,-72,-66,-72,-72,-77,-79,-89
2,"(0,0)",-68,-65,-75,-79,-72,-79,-76,-79,-77,-77,-54,-66,-72,-72,-73,-66,-73,-72,-77,-79,-89
3,"(0,0)",-68,-65,-74,-79,-72,-79,-76,-79,-76,-77,-54,-66,-72,-72,-73,-66,-73,-72,-77,-79,-89
4,"(0,0)",-68,-65,-74,-79,-72,-79,-76,-79,-75,-77,-54,-65,-74,-72,-73,-66,-73,-72,-77,-79,-89
5,"(0,0)",-67,-65,-75,-79,-73,-79,-77,-79,-74,-78,-53,-65,-74,-72,-73,-64,-73,-73,-77,-79,-86
6,"(0,0)",-67,-75,-79,-72,-79,-77,-79,-74,-78,-53,-65,-74,-72,-72,-65,-73,-73,-76,-79,-86,-94
7,"(0,0)",-67,-74,-79,-72,-79,-76,-79,-74,-78,-52,-65,-74,-72,-72,-64,-72,-73,-76,-79,-86,-94
8,"(0,0)",-67,-73,-79,-72,-79,-76,-79,-73,-78,-52,-65,-73,-72,-72,-65,-72,-73,-76,-79,-85,-94
9,"(0,0)",-67,-73,-79,-72,-79,-76,-79,-73,-78,-52,-65,-73,-72,-72,-65,-72,-73,-76,-79,-85,-94
10,"(0,0)",-67,-73,-79,-73,-79,-75,-79,-73,-78,-54,-65,-73,-72,-72,-65,-72,-73,-77,-79,-85,-94
11,"(0,0)",-67,-73,-79,-74,-79,-74,-79,-73,-78,-57,-65,-73,-72,-73,-65,-72,-73,-77,-79,-86,-94
12,"(0,0)",-67,-73,-79,-74,-79,-74,-79,-73,-77,-57,-65,-73,-72,-73,-65,-72,-73,-77,-81,-87,-94
13,"(0,0)",-67,-72,-79,-73,-79,-74,-79,-73,-77,-55,-65,-73,-72,-73,-65,-72,-73,-77,-81,-89,-94
14,"(0,0)",-67,-72,-81,-73,-79,-74,-79,-73,-77,-55,-65,-73,-72,-73,-65,-72,-73,-77,-81,-89,-91
