,precision,recall,f1-score,support
0,0.9976291278577477,0.9947652819993246,0.996195146698233,5922.0
1,0.9976243000169693,0.9977936184657162,0.9977089520577005,5892.0
2,0.9967495219885277,0.9998082086689681,0.9982765224052086,5214.0
3,1.0,1.0,1.0,5937.0
accuracy,0.9980404964075767,0.9980404964075767,0.9980404964075767,0.9980404964075767
macro avg,0.9980007374658112,0.9980917772835023,0.9980451552902855,22965.0
weighted avg,0.9980411094501088,0.9980404964075767,0.9980397383884896,22965.0
