,precision,recall,f1-score,support
0,0.4782608695652174,1.0,0.6470588235294118,22.0
1,1.0,1.0,1.0,17.0
2,0.0,0.0,0.0,23.0
3,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.6195652173913043,0.7361111111111112,0.6546218487394958,80.0
weighted avg,0.5690217391304347,0.7,0.6090126050420167,80.0
