,precision,recall,f1-score,support
0,1.0,1.0,1.0,512.0
1,1.0,1.0,1.0,508.0
2,1.0,1.0,1.0,475.0
3,1.0,1.0,1.0,505.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,2000.0
weighted avg,1.0,1.0,1.0,2000.0
