,precision,recall,f1-score,support
0,0.0,0.0,0.0,4995.0
1,0.0,0.0,0.0,5012.0
2,0.2507,1.0,0.40089549852082834,5014.0
3,0.0,0.0,0.0,4979.0
accuracy,0.2507,0.2507,0.2507,0.2507
macro avg,0.062675,0.25,0.10022387463020709,20000.0
weighted avg,0.06285049,0.2507,0.10050450147917167,20000.0
