,precision,recall,f1-score,support
0,0.0,0.0,0.0,3948.0
1,0.0,0.0,0.0,3917.0
2,0.0,0.0,0.0,4056.0
3,0.2549375,1.0,0.4062951342198316,4079.0
accuracy,0.2549375,0.2549375,0.2549375,0.2549375
macro avg,0.063734375,0.25,0.1015737835549579,16000.0
weighted avg,0.06499312890624999,0.2549375,0.10357986578016833,16000.0
