"""DIE""
-43,-60,-77,-66,-74,-91,-88,-87,-85,-79,-81,-69,-75,-82,-72,-71,-84,-71,-71,-72,-81,-72,-86,-89,-90,-86,-89,-91,-86,-90,-90,-95
-43,-60,-79,-66,-74,-91,-88,-87,-84,-79,-81,-67,-75,-77,-72,-71,-83,-72,-72,-72,-83,-73,-86,-86,-89,-91,-86,-90,-90,-95

"""DIE""
00:02:6F:E5:B6:5A","""Lab Sep""
C0:A0:BB:19:CF:50","""Sistemas Paralelos""
C8:D7:19:DC:7D:C7","""Dinamica de suelos""
CC:2D:E0:7A:79:AB","""Las imagenes""
00:1A:70:5D:E6:E8","""SP&R""
20:AA:4B:54:DF:AD","""Optronica""
34:CE:00:49:5C:4F","""OpenWrt""
10:FE:ED:C0:6D:C0","""eduroam""
84:D4:7E:28:AA:E2","""DIRECT-17-HP M130f LaserJet""
FA:DA:0C:83:7D:17","""VLSI_2.4GHz""
E8:DE:27:6D:4A:E7","""UdeC""
84:D4:7E:28:AA:F0","""WiFi-UdeC""
84:D4:7E:28:AA:F1","""eduroam""
84:D4:7E:28:AA:F2","""Optronica_5G""
34:CE:00:49:5C:50","""VLSI_5GHz""
E8:DE:27:6D:4A:E8","""""
4A:D9:E7:21:02:35","""Sala de Estudio DIMAT""
C4:12:F5:7B:BA:94","""Laboratorio Polimeros""
AC:84:C6:39:3B:D4","""Laboratorio de Accionamiento""
74:DA:DA:FE:21:D4","""UdeC""
84:D4:7E:28:AA:E0","""WiFi-UdeC""
84:D4:7E:28:AA:E1","""Lab Hormigon""
00:11:6B:50:FF:86","""Baxter""
EC:22:80:F3:EB:EA","""Historia1""
00:19:5B:D9:20:32","""DIE""
00:18:F8:32:A0:BD"
-42,-60,-77,-70,-76,-86,-82,-82,-70,-77,-81,-71,-72,-72,-81,-73,-84,-90,-92,-73,-72,-85,-88,-92,-88,-91



"""DIE""
00:02:6F:E5:B6:5A","""Lab Sep""
C0:A0:BB:19:CF:50","""Sistemas Paralelos""
C8:D7:19:DC:7D:C7","""Dinamica de suelos""
CC:2D:E0:7A:79:AB","""Las imagenes""
00:1A:70:5D:E6:E8","""SP&R""
20:AA:4B:54:DF:AD","""Optronica""
34:CE:00:49:5C:4F","""OpenWrt""
10:FE:ED:C0:6D:C0","""eduroam""
84:D4:7E:28:AA:E2","""DIRECT-17-HP M130f LaserJet""
FA:DA:0C:83:7D:17","""VLSI_2.4GHz""
E8:DE:27:6D:4A:E7","""UdeC""
84:D4:7E:28:AA:F0","""WiFi-UdeC""
84:D4:7E:28:AA:F1","""eduroam""
84:D4:7E:28:AA:F2","""Optronica_5G""
34:CE:00:49:5C:50","""VLSI_5GHz""
E8:DE:27:6D:4A:E8","""""
4A:D9:E7:21:02:35","""UdeC""
84:D4:7E:28:AA:E0","""WiFi-UdeC""
84:D4:7E:28:AA:E1","""Lab Hormigon""
00:11:6B:50:FF:86","""DIE""
00:18:F8:32:A0:BD","""Laboratorio de Accionamiento 5G""
74:DA:DA:FE:21:D6","""Sala-Teaching""
4E:D9:E7:21:02:35","""oficinahistoria""
78:32:1B:CD:D0:D4","""Sala DIM""
A0:AB:1B:8C:99:AC","""Materiales-Reuniones""
54:B8:0A:A8:19:20","""LCSE-24""
F8:E9:03:C7:2C:80","""Laboratorio Polimeros""
AC:84:C6:39:3B:D4","""Centro""
84:C9:B2:0A:8A:30","""Laboratorio de Accionamiento""
74:DA:DA:FE:21:D4","""Sala Dise\xC3\xB1o""
4E:D9:E7:21:01:05","""Docentes FI""
52:D9:E7:21:01:05","""Sala de Estudio DIMAT""
C4:12:F5:7B:BA:94"
-44,-59,-77,-68,-76,-85,-86,-81,-68,-74,-79,-73,-73,-73,-83,-73,-82,-70,-70,-87,-90,-88,-82,-74,-91,-88,-77,-89,-88,-90,-90,-90,-89,-91
-42,-59,-78,-67,-75,-85,-83,-81,-68,-71,-75,-67,-68,-67,-81,-73,-83,-70,-70,-90,-90,-82,-71,-91,-87,-77,-89,-88,-90,-90,-90,-89,-91
-45,-59,-74,-68,-73,-78,-68,-74,-76,-71,-71,-71,-79,-72,-87,-70,-70,-88,-90,-73,-87,-77,-89,-91,-85,-90
-43,-60,-76,-66,-74,-85,-69,-76,-77,-71,-71,-71,-81,-72,-89,-71,-71,-88,-89,-74,-87,-82,-90,-90,-84
