,precision,recall,f1-score,support
0,0.999000499750125,0.9970074812967581,0.99800299550674,2005.0
1,1.0,1.0,1.0,1999.0
2,0.9969712266532055,0.9989883662114315,0.9979787771601819,1977.0
3,1.0,1.0,1.0,2019.0
accuracy,0.999,0.999,0.999,0.999
macro avg,0.9989929316008326,0.9989989618770474,0.9989954431667305,8000.0
weighted avg,0.9990010146365484,0.999,0.9990000060545867,8000.0
