,precision,recall,f1-score,support
0,0.0,0.0,0.0,1016.0
1,0.0,0.0,0.0,987.0
2,0.24425,1.0,0.3926059875426964,977.0
3,0.0,0.0,0.0,1020.0
accuracy,0.24425,0.24425,0.24425,0.24425
macro avg,0.0610625,0.25,0.0981514968856741,4000.0
weighted avg,0.0596580625,0.24425,0.09589401245730358,4000.0
