,precision,recall,f1-score,support
0,1.0,1.0,1.0,1016.0
1,1.0,1.0,1.0,987.0
2,1.0,1.0,1.0,977.0
3,1.0,1.0,1.0,1020.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,4000.0
weighted avg,1.0,1.0,1.0,4000.0
