"""Lab ERNC""
00:90:4C:91:00:03","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Vibraciones""
50:C7:BF:DD:C3:B3","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Docentes FI""
0E:18:D6:CB:01:A4","""Microondas""
48:F8:B3:22:4D:4B","""CE5CFB""
98:FC:11:E2:A6:A5","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Die231""
EC:08:6B:42:B5:4A","""LabSerc 2.4""
94:10:3E:86:13:20","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""eduroam""
84:D4:7E:29:3E:82","""Redmi""
18:01:F1:54:0C:ED","""UdeC""
84:D4:7E:29:3E:80","""LCDA""
B0:48:7A:DE:14:8C"
-76,-69,-75,-72,-77,-50,-78,-77,-72,-78,-73,-67,-88,-78,-75,-77,-87,-68,-95,-77,-78,-79,-68
-76,-69,-74,-73,-77,-50,-78,-78,-74,-78,-73,-69,-88,-78,-74,-77,-87,-68,-95,-78,-79,-79,-68
-77,-68,-74,-73,-77,-50,-78,-77,-74,-78,-73,-70,-89,-78,-74,-77,-87,-68,-94,-78,-78,-79,-68
-77,-68,-74,-73,-77,-50,-77,-77,-73,-78,-73,-71,-89,-78,-74,-77,-87,-68,-94,-78,-78,-79,-68
-77,-68,-74,-73,-77,-50,-77,-78,-73,-78,-73,-71,-89,-78,-74,-77,-86,-68,-93,-78,-78,-79,-68,-89
-77,-68,-74,-73,-77,-50,-77,-78,-73,-78,-73,-70,-89,-78,-75,-77,-86,-68,-94,-78,-77,-79,-68,-89
-77,-68,-74,-74,-77,-50,-77,-78,-73,-78,-73,-69,-89,-78,-75,-77,-86,-68,-94,-78,-77,-79,-68,-89
-77,-68,-74,-74,-77,-50,-77,-78,-72,-78,-73,-70,-89,-78,-74,-77,-86,-68,-94,-78,-76,-79,-68,-89
-77,-68,-74,-73,-77,-50,-77,-78,-72,-79,-73,-70,-89,-78,-75,-77,-85,-68,-94,-78,-76,-79,-68,-89
-76,-68,-74,-74,-77,-50,-77,-78,-72,-79,-72,-69,-89,-78,-74,-77,-86,-68,-93,-78,-76,-79,-68,-89
-76,-68,-75,-74,-77,-50,-77,-78,-72,-79,-72,-69,-90,-78,-74,-77,-85,-68,-92,-78,-75,-79,-68,-89
-77,-68,-74,-75,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-74,-77,-85,-69,-92,-78,-75,-79,-68,-89,-87
-77,-68,-74,-75,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-75,-77,-83,-69,-93,-78,-75,-81,-68,-87
-77,-68,-74,-74,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-74,-77,-82,-69,-93,-78,-74,-81,-69,-86
-76,-68,-74,-74,-77,-50,-77,-78,-73,-79,-72,-69,-90,-78,-74,-77,-85,-68,-94,-78,-74,-81,-69,-86
-77,-68,-73,-74,-77,-50,-77,-78,-73,-79,-72,-69,-90,-78,-75,-77,-85,-68,-94,-78,-74,-81,-68,-86,-95
-77,-68,-74,-74,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-75,-77,-85,-68,-94,-78,-74,-81,-69,-86,-95
-77,-69,-73,-73,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74,-77,-85,-68,-93,-78,-74,-81,-69,-86,-95
-77,-69,-74,-72,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74,-77,-85,-69,-93,-78,-74,-83,-69,-86,-95
-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74,-77,-85,-69,-93,-78,-74,-83,-69,-86,-95
-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-71,-90,-78,-75,-77,-84,-69,-93,-78,-74,-83,-70,-95
-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-70,-90,-78,-75,-77,-84,-69,-94,-78,-74,-83,-70,-95
-75,-69,-74,-74,-77,-50,-77,-77,-72,-79,-72,-69,-90,-78,-75,-77,-85,-69,-93,-78,-75,-83,-70,-95
-76,-69,-74,-74,-77,-58,-77,-77,-72,-79,-72,-70,-90,-78,-75,-77,-85,-69,-93,-78,-75,-83,-70
-75,-69,-74,-75,-77,-56,-77,-77,-72,-79,-72,-68,-90,-78,-74,-77,-84,-69,-93,-78,-74,-83,-70
-73,-69,-74,-75,-77,-56,-78,-78,-72,-79,-72,-68,-90,-78,-74,-77,-84,-69,-93,-78,-74,-83,-70,-97
-73,-69,-74,-74,-77,-55,-78,-78,-72,-79,-72,-68,-90,-78,-75,-77,-83,-93,-78,-74,-83,-70,-97,-72
-75,-69,-74,-75,-77,-54,-78,-78,-72,-79,-72,-68,-90,-78,-75,-77,-83,-93,-78,-74,-83,-70,-97,-72
-76,-69,-74,-74,-77,-53,-78,-78,-72,-79,-72,-70,-90,-78,-76,-77,-82,-94,-78,-74,-82,-70,-97,-72
-76,-68,-73,-74,-77,-52,-78,-78,-72,-79,-72,-71,-90,-78,-75,-77,-82,-94,-78,-74,-82,-70,-97,-72,-79
-77,-68,-73,-74,-77,-52,-78,-78,-72,-79,-72,-70,-90,-78,-76,-77,-82,-94,-78,-75,-82,-70,-97,-72,-79
-77,-69,-74,-74,-77,-53,-78,-78,-73,-79,-72,-69,-90,-78,-76,-77,-81,-94,-78,-75,-82,-71,-97,-72,-79
-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-72,-70,-89,-78,-75,-77,-81,-94,-78,-75,-82,-71,-97,-72,-83
-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-72,-70,-89,-78,-75,-77,-83,-95,-78,-75,-81,-70,-71,-83
-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-72,-70,-89,-78,-74,-77,-83,-95,-78,-75,-81,-70,-70,-84
-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-72,-69,-89,-78,-75,-77,-83,-95,-78,-76,-81,-70,-70,-84
-76,-69,-75,-74,-77,-52,-78,-78,-73,-79,-72,-70,-89,-78,-74,-77,-83,-95,-78,-76,-81,-70,-69,-84
-75,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-69,-89,-78,-74,-77,-83,-94,-78,-75,-81,-70,-69,-84
-75,-69,-74,-74,-77,-52,-78,-78,-75,-79,-71,-68,-89,-78,-74,-76,-83,-94,-78,-74,-81,-70,-69,-84
-76,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-73,-89,-78,-75,-76,-83,-94,-78,-75,-81,-70,-69,-84
-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-73,-89,-78,-75,-76,-84,-93,-78,-75,-81,-70,-69,-84
-76,-69,-74,-73,-77,-52,-78,-78,-73,-79,-71,-71,-89,-78,-75,-77,-84,-93,-78,-75,-81,-70,-69
-77,-69,-74,-73,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78,-75,-77,-84,-93,-78,-75,-81,-70,-69
-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78,-75,-77,-85,-93,-78,-75,-81,-70,-69
-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-89,-78,-74,-77,-86,-92,-78,-75,-81,-69,-68
-77,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-69,-89,-78,-75,-77,-88,-92,-78,-75,-81,-69,-68
-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-68,-89,-78,-75,-77,-87,-92,-78,-75,-81,-68,-68
-77,-69,-75,-73,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78,-75,-77,-87,-92,-78,-75,-81,-68,-68
-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-89,-78,-74,-76,-84,-91,-78,-75,-84,-67,-68
-77,-69,-74,-75,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78,-75,-77,-85,-91,-78,-75,-84,-68,-68
-77,-69,-74,-74,-77,-52,-77,-78,-73,-79,-71,-68,-89,-78,-75,-77,-85,-91,-78,-75,-84,-68,-68
-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78,-74,-77,-86,-92,-78,-75,-84,-68,-68
-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-87,-78,-74,-77,-86,-92,-79,-74,-84,-68,-68
-78,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-87,-78,-74,-77,-86,-92,-79,-74,-84,-68,-68
-78,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-88,-78,-74,-77,-87,-92,-79,-74,-84,-68,-68,-79
-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-88,-78,-75,-77,-87,-92,-79,-74,-84,-68,-68,-79
-76,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-71,-88,-78,-75,-77,-87,-93,-79,-75,-83,-68,-68,-79
-76,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-69,-88,-78,-75,-77,-88,-93,-78,-75,-83,-68,-69,-79
-77,-69,-74,-75,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78,-76,-77,-88,-93,-78,-75,-83,-68,-69,-79
-77,-69,-75,-74,-77,-52,-78,-78,-73,-79,-71,-68,-88,-79,-77,-77,-89,-93,-78,-76,-83,-68,-70,-79
-77,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-68,-88,-79,-76,-77,-89,-93,-78,-77,-83,-68,-70,-79
-77,-69,-75,-74,-78,-52,-78,-78,-72,-79,-71,-67,-88,-79,-75,-77,-87,-93,-78,-77,-83,-69,-71
-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-72,-68,-88,-79,-76,-77,-86,-94,-78,-77,-83,-69,-71,-79
-76,-69,-74,-74,-78,-52,-77,-78,-72,-79,-72,-69,-89,-79,-75,-77,-84,-94,-78,-77,-83,-70,-70,-79
-76,-69,-74,-75,-78,-52,-77,-78,-72,-79,-72,-69,-89,-79,-74,-77,-84,-94,-78,-78,-82,-70,-70,-79
-76,-69,-74,-75,-78,-52,-77,-78,-73,-79,-72,-68,-90,-79,-74,-77,-85,-94,-78,-78,-82,-71,-71,-79
-77,-69,-74,-74,-78,-52,-78,-78,-73,-79,-72,-69,-89,-79,-75,-77,-86,-95,-78,-76,-82,-71,-71,-79
-77,-69,-74,-75,-78,-52,-78,-78,-73,-79,-72,-68,-89,-79,-74,-77,-86,-94,-78,-75,-82,-71,-71,-79
-77,-69,-74,-74,-78,-52,-78,-78,-72,-79,-74,-68,-89,-79,-75,-77,-86,-94,-78,-75,-81,-71,-71,-79
-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-74,-69,-89,-79,-75,-77,-86,-94,-78,-75,-83,-70,-70,-79
-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-75,-69,-91,-79,-74,-77,-88,-93,-79,-75,-83,-70,-71,-79
-76,-68,-75,-75,-78,-52,-78,-78,-72,-79,-74,-71,-91,-79,-75,-77,-90,-93,-79,-75,-83,-70,-71,-79
-76,-68,-75,-75,-78,-52,-78,-78,-72,-79,-73,-69,-91,-79,-74,-77,-90,-93,-79,-75,-84,-70,-71,-79
-76,-68,-75,-74,-78,-52,-78,-78,-72,-79,-73,-69,-91,-79,-74,-77,-90,-93,-79,-75,-85,-70,-71
-76,-68,-75,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-74,-77,-88,-93,-79,-76,-85,-70,-70
-76,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-74,-77,-86,-93,-79,-76,-86,-70,-70
-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-74,-77,-85,-93,-79,-76,-86,-69,-70,-79
-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79,-74,-77,-85,-93,-79,-76,-84,-69,-70,-79
-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79,-74,-77,-85,-79,-77,-83,-69,-70,-79
-76,-68,-74,-73,-78,-52,-77,-78,-72,-79,-72,-69,-91,-79,-75,-76,-85,-79,-77,-84,-68,-70,-79
-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-74,-77,-85,-79,-77,-83,-68,-70,-79,-87
-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-75,-77,-84,-79,-77,-83,-68,-70,-79,-87
-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-76,-77,-83,-79,-77,-83,-68,-70,-79,-87
-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79,-75,-77,-83,-79,-77,-83,-68,-79,-87
-77,-68,-75,-73,-78,-52,-78,-78,-72,-79,-72,-69,-90,-79,-75,-77,-83,-79,-77,-82,-68,-79,-87
-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-70,-88,-79,-74,-77,-83,-79,-77,-82,-68,-79,-89
-77,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-70,-89,-79,-74,-77,-83,-79,-76,-82,-68,-79,-89,-68
-77,-68,-76,-73,-78,-52,-78,-78,-72,-79,-72,-69,-89,-79,-75,-77,-83,-79,-76,-82,-79,-91,-68,-68
-77,-68,-75,-74,-78,-52,-78,-78,-72,-79,-72,-70,-89,-79,-74,-77,-82,-79,-76,-82,-79,-91,-69,-68
-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-90,-79,-74,-77,-83,-79,-77,-83,-91,-70,-68
-77,-68,-74,-75,-78,-52,-77,-78,-72,-79,-72,-70,-90,-79,-74,-77,-83,-79,-77,-83,-91,-70,-68
-77,-68,-74,-75,-78,-52,-76,-78,-72,-79,-72,-70,-90,-79,-74,-77,-82,-79,-77,-85,-92,-70,-68
-77,-69,-74,-75,-78,-52,-76,-78,-72,-79,-72,-70,-90,-79,-75,-77,-81,-79,-77,-85,-92,-71,-68,-79
-77,-69,-74,-75,-78,-52,-77,-78,-72,-79,-72,-70,-91,-79,-74,-77,-81,-79,-77,-85,-91,-70,-68,-79
-77,-69,-74,-75,-78,-53,-77,-82,-73,-79,-72,-70,-91,-79,-74,-77,-81,-79,-78,-85,-91,-71,-68,-79
-77,-69,-74,-75,-78,-52,-77,-80,-73,-79,-72,-70,-91,-79,-75,-77,-81,-79,-78,-85,-91,-70,-68,-79
-77,-69,-74,-75,-78,-52,-77,-80,-73,-79,-72,-70,-91,-79,-75,-77,-81,-78,-78,-84,-91,-70,-68,-79
-76,-69,-74,-75,-78,-52,-78,-79,-73,-79,-72,-70,-91,-79,-76,-77,-81,-78,-78,-84,-91,-70,-68,-79
-77,-69,-74,-76,-76,-52,-78,-79,-73,-79,-71,-72,-91,-79,-75,-77,-81,-78,-78,-84,-91,-70,-68,-79
-77,-69,-74,-76,-77,-52,-78,-79,-73,-79,-71,-72,-91,-79,-75,-77,-81,-78,-77,-84,-92,-70,-68
-77,-69,-74,-76,-77,-52,-78,-79,-72,-79,-71,-69,-91,-79,-75,-76,-81,-78,-78,-84,-92,-70,-68
-77,-68,-73,-75,-77,-52,-78,-79,-72,-79,-71,-69,-90,-79,-75,-76,-81,-78,-78,-84,-92,-70,-68
-77,-68,-73,-77,-77,-52,-78,-78,-72,-79,-71,-70,-90,-79,-74,-76,-81,-78,-78,-84,-92,-70,-68
-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-70,-90,-79,-74,-77,-81,-78,-78,-84,-92,-70,-68
-77,-68,-74,-75,-77,-52,-78,-78,-72,-79,-71,-69,-90,-79,-75,-77,-81,-78,-77,-84,-92,-71,-69
-77,-69,-74,-75,-77,-52,-77,-78,-72,-79,-71,-69,-90,-79,-75,-77,-81,-78,-78,-84,-92,-70,-70
-77,-69,-74,-76,-77,-52,-77,-78,-72,-79,-71,-69,-90,-79,-75,-77,-81,-78,-78,-84,-92,-70,-70
